CMPLNT_FR_DT	CMPLNT_FR_TM	PD_DESC	LAW_CAT_CD	BORO_NM	ADDR_PCT_CD	PREM_TYP_DESC	Latitude	Longitude
12/28/16	0:01:00	"LARCENY,PETIT FROM STORE-SHOPL"	MISDEMEANOR	BRONX	52	CHAIN STORE	40.87367104	-73.90801365
12/28/16	0:01:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	MANHATTAN	18	BAR/NIGHT CLUB	40.75991355	-73.98629182
12/28/16	0:01:00	"MISCHIEF, CRIMINAL 3 & 2, OF M"	FELONY	BROOKLYN	81	STREET	40.68221053	-73.91704991
12/28/16	0:00:00	ASSAULT 3	MISDEMEANOR	BROOKLYN	83	RESIDENCE - APT. HOUSE	40.69839008	-73.9121684
12/28/16	0:00:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	MANHATTAN	9	RESIDENCE - PUBLIC HOUSING	40.72286282	-73.97419203
12/28/16	0:00:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	QUEENS	114	BAR/NIGHT CLUB	40.76142099	-73.92418887
12/28/16	0:00:00	VIOLATION OF ORDER OF PROTECTI	MISDEMEANOR	QUEENS	103	RESIDENCE - APT. HOUSE	40.70561531	-73.78841808
12/29/16	23:00:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	QUEENS	109	STREET	40.76234345	-73.83317313
12/29/16	22:00:00	"MISCHIEF, CRIMINAL 4, OF MOTOR"	MISDEMEANOR	BROOKLYN	77	STREET	40.67526938	-73.93469117
12/29/16	22:00:00	"LARCENY,PETIT OF BICYCLE"	MISDEMEANOR	MANHATTAN	14	STREET	40.75581291	-73.98640095
12/29/16	21:00:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	BRONX	47	OTHER	40.89115304	-73.84490476
12/29/16	20:53:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	BRONX	47	RESIDENCE - APT. HOUSE	40.87230535	-73.83701927
12/29/16	20:00:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	BROOKLYN	90	RESIDENCE - APT. HOUSE	40.71207614	-73.96471313
12/29/16	19:45:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	QUEENS	114	CHAIN STORE	40.75130182	-73.93428819
12/29/16	19:15:00	"LARCENY,PETIT OF LICENSE PLATE"	MISDEMEANOR	BRONX	49	STREET	40.8555952	-73.86195961
12/29/16	19:00:00	ASSAULT 3	MISDEMEANOR	BROOKLYN	75	STREET	40.66278963	-73.88085661
12/29/16	19:00:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	BROOKLYN	78	BAR/NIGHT CLUB	40.67370834	-73.98253146
12/29/16	18:30:00	"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP"	FELONY	QUEENS	104	RESIDENCE - APT. HOUSE	40.70063249	-73.90516885
12/29/16	18:00:00	"LARCENY,PETIT OF LICENSE PLATE"	MISDEMEANOR	BRONX	46	STREET	40.85592802	-73.91719114
12/29/16	18:00:00	"FRAUD,UNCLASSIFIED-FELONY"	FELONY	MANHATTAN	20	RESIDENCE - APT. HOUSE	40.78323949	-73.97640743
12/29/16	17:30:00	ASSAULT 3	MISDEMEANOR	MANHATTAN	28	STREET	40.80837414	-73.94688582
12/29/16	17:30:00	VIOLATION OF ORDER OF PROTECTI	MISDEMEANOR	MANHATTAN	17	BAR/NIGHT CLUB	40.75708253	-73.9669272
12/29/16	17:00:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	BROOKLYN	62	OTHER	40.60190469	-73.9823882
12/29/16	17:00:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	BROOKLYN	71	RESIDENCE - APT. HOUSE	40.65576217	-73.95812585
12/29/16	16:00:00	"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"	FELONY	BROOKLYN	72	RESIDENCE-HOUSE	40.64768898	-73.97408057
12/29/16	16:00:00	"LARCENY,PETIT FROM OPEN AREAS,"	MISDEMEANOR	BROOKLYN	73	RESIDENCE - APT. HOUSE	40.66221178	-73.91663504
12/29/16	13:00:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	BRONX	48	CHAIN STORE	40.86157703	-73.89124131
12/29/16	11:33:00	AGGRAVATED HARASSMENT 2	MISDEMEANOR	QUEENS	109	RESIDENCE-HOUSE	40.76086356	-73.78487468
12/29/16	10:00:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	QUEENS	102	RESIDENCE - APT. HOUSE	40.69453246	-73.83016577
12/29/16	10:00:00	"LARCENY,PETIT OF VEHICLE ACCES"	MISDEMEANOR	BRONX	46	STREET	40.8462884	-73.90959847
12/29/16	7:30:00	"LARCENY,PETIT FROM OPEN AREAS,"	MISDEMEANOR	BROOKLYN	79	RESIDENCE-HOUSE	40.68819522	-73.95300326
12/29/16	3:00:00	"BURGLARY,RESIDENCE,NIGHT"	FELONY	BRONX	42	RESIDENCE - APT. HOUSE	40.82675964	-73.90942266
12/29/16	1:12:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	BRONX	50	RESIDENCE-HOUSE	40.88336487	-73.89773689
12/29/16	1:00:00	"LARCENY,PETIT OF LICENSE PLATE"	MISDEMEANOR	BROOKLYN	62	STREET	40.59712326	-73.98242547
12/29/16	18:45:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	BROOKLYN	68	STREET	40.63736451	-74.03126886
12/29/16	15:15:00	"BRIBERY,PUBLIC ADMINISTRATION"	FELONY	MANHATTAN	1	STREET	40.70698983	-74.00645767
12/29/16	23:30:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	BRONX	43	STREET	40.84176754	-73.85321678
12/29/16	23:59:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	MANHATTAN	34	STREET	40.85214323	-73.92985454
12/29/16	23:55:00	"ROBBERY,BAR/RESTAURANT"	FELONY	BROOKLYN	69	CHAIN STORE	40.64999	-73.89122584
12/29/16	23:55:00	"MISCHIEF, CRIMINAL 4, OF MOTOR"	MISDEMEANOR	MANHATTAN	32	STREET	40.82538806	-73.94005404
12/29/16	23:51:00	"ROBBERY,BEGIN AS SHOPLIFTING"	FELONY	BRONX	47	CHAIN STORE	40.87524729	-73.85971669
12/29/16	23:50:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	BRONX	45	RESIDENCE - PUBLIC HOUSING	40.820672	-73.82405583
12/29/16	23:50:00	"ASSAULT 2,1,UNCLASSIFIED"	FELONY	BROOKLYN	75	STREET	40.66893363	-73.88747843
